timestamp,id,data
300.089300,d7,28180098008f00001e188582
300.089290,d7,28180098008f00001e188583
300.091440,101,28800000000000008a188586
300.091300,101,28800000000000008a188587
300.109310,d7,2818009c0092000025188598
300.109690,d7,2818009c0092000025188599
300.111290,101,28800000000000008a188600
300.111550,101,28800000000000008a188602
300.129290,d7,281800a3009b000035188612
300.129310,d7,281800a3009b000035188613
300.131290,101,28800000000000008a188614
300.131270,101,28800000000000008a188615
300.149270,d7,281800ac00a3000046188622
300.149290,d7,281800ac00a3000046188623
300.151270,101,28800000000000008a188624
300.151720,101,28800000000000008a188625
300.169300,d7,281800b200aa000053188636
300.169280,d7,281800b200aa000053188637
300.171280,101,28800000000000008a188638
300.171270,101,28800000000000008a188639
300.189260,d7,281800b500b000005c188646
300.189280,d7,281800b500b000005c188647
300.191260,101,28800000000000008a188649
300.191520,101,28800000000000008a188650
300.209300,d7,281800c100b8000070188662
300.209320,d7,281800c100b8000070188663
300.211250,101,28800000000000008a188664
300.211270,101,28800000000000008a188665
300.229290,d7,281800c100ba000072188676
300.229270,d7,281800c100ba000072188677
300.231260,101,28800000000000008a188678
300.231250,101,28800000000000008a188679
300.249270,d7,281800cc00c1000084188687
300.249260,d7,281800cc00c1000084188688
300.251280,101,28800000000000008a188689
300.251260,101,28800000000000008a188690
300.269300,d7,281800cd00c3000087188699
300.269800,d7,281800cd00c3000087188700
300.271240,101,28800000000000008a188702
300.271500,101,28800000000000008a188703
300.289240,d7,281800d100ca000092188709
300.291290,101,28800000000000008a188710
300.309240,d7,281800d100ca000092188718
300.311520,101,28800000000000008a188719
300.330270,d7,281800d600d200009f188727
300.331240,101,28800000000000008a188728
